date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
2022/10/29,2023,0,,SAC,MIA,1383.953501,1582.428584,0.361959799,0.638040201,1394.664931,1571.717153,,,,,,,1445.835378,1604.154468,0.377089172,0.622910828,119,113,59,22,41
2022/10/29,2023,0,,CHO,GSW,1530.064852,1639.677035,0.486170484,0.513829516,1538.777302,1630.964585,,,,,,,1404.25582,1607.465487,0.283112876,0.716887124,120,113,50,29,40
2022/10/29,2023,0,,BRK,IND,1494.223702,1397.053495,0.756760994,0.243239006,1476.732313,1414.544885,,,,,,,1559.797562,1433.728877,0.803185683,0.196814317,116,125,48,26,37
2022/10/29,2023,0,,MIL,ATL,1604.02488,1541.234706,0.718512603,0.281487397,1608.547334,1536.712252,,,,,,,1600.613885,1591.500302,0.621678766,0.378321234,123,115,84,15,50
2022/10/29,2023,0,,CHI,PHI,1459.575852,1576.215169,0.476072389,0.523927611,1452.963274,1582.827746,,,,,,,1496.197804,1622.585943,0.422337832,0.577662168,109,114,73,40,57
2022/10/29,2023,0,,DAL,OKC,1618.545467,1379.832443,0.875423621,0.124576379,1599.974443,1398.403467,,,,,,,1625.010709,1367.417652,0.866271352,0.133728648,111,117,44,4,24
2022/10/29,2023,0,,UTA,MEM,1555.868172,1605.714081,0.571680328,0.428319672,1559.197066,1602.385187,,,,,,,1471.769484,1579.328472,0.437000791,0.562999209,124,123,60,37,49
2022/10/30,2023,0,,LAC,NOP,1488.938738,1566.170843,0.532718812,0.467281188,1470.547157,1584.562424,,,,,,,1516.766028,1551.899257,0.546463141,0.453536859,91,112,65,65,65
2022/10/30,2023,0,,CLE,NYK,1542.565541,1527.197141,0.660183911,0.339816089,1550.189294,1519.573388,,,,,,,1518.850349,1539.388627,0.577886362,0.422113638,121,108,63,57,60
2022/10/30,2023,0,,BOS,WAS,1632.257192,1439.205543,0.843821434,0.156178566,1636.111045,1435.35169,,,,,,,1664.526348,1446.883785,0.841889036,0.158110964,112,94,70,8,39
2022/10/30,2023,0,,DET,GSW,1354.423187,1630.964585,0.265757722,0.734242278,1376.416566,1608.971206,,,,,,,1339.394195,1596.604866,0.322847419,0.677152581,128,114,33,8,21
2022/10/30,2023,0,,SAS,MIN,1501.295779,1537.237369,0.591156864,0.408843136,1508.866997,1529.66615,,,,,,,1366.346914,1592.221997,0.305180875,0.694819125,107,98,38,38,38
2022/10/30,2023,0,,DAL,ORL,1599.974443,1372.742166,0.868035585,0.131964415,1602.010476,1370.706132,,,,,,,1614.478311,1297.978996,0.882572278,0.117427722,114,105,26,3,15
2022/10/30,2023,0,,PHO,HOU,1625.352659,1342.780489,0.900452495,0.099547505,1627.405025,1340.728124,,,,,,,1617.602641,1316.334137,0.903003772,0.096996228,124,109,30,1,16
2022/10/30,2023,0,,LAL,DEN,1413.953207,1522.689718,0.487429799,0.512570201,1425.320853,1511.322072,,,,,,,1448.976946,1593.368357,0.392224308,0.607775692,121,110,58,14,36
2022/10/31,2023,0,,WAS,PHI,1435.35169,1582.827746,0.432098566,0.567901434,1428.347431,1589.832005,,,,,,,1439.945224,1572.468828,0.351101071,0.648898929,111,118,52,21,37
2022/10/31,2023,0,,CHO,SAC,1538.777302,1394.664931,0.803011512,0.196988488,1521.987288,1411.454945,,,,,,,1445.345993,1446.61028,0.62576237,0.37423763,108,115,29,35,32
2022/10/31,2023,0,,TOR,ATL,1543.257157,1536.712252,0.648698171,0.351301829,1557.413013,1522.556396,,,,,,,1559.21665,1582.704695,0.574089014,0.425910986,139,109,77,28,53
2022/10/31,2023,0,,BRK,IND,1476.732313,1414.544885,0.717810319,0.282189681,1480.935004,1410.342193,,,,,,,1542.977377,1465.089307,0.70179692,0.29820308,116,109,52,44,48
2022/10/31,2023,0,,MIL,DET,1608.547334,1376.416566,0.871232272,0.128767728,1609.530483,1375.433417,,,,,,,1603.390792,1332.36029,0.906390928,0.093609072,110,108,32,1,17
2022/10/31,2023,0,,UTA,MEM,1559.197066,1602.385187,0.581037884,0.418962116,1570.464974,1591.117279,,,,,,,1520.858416,1583.867219,0.565467085,0.434532915,121,105,71,33,52
2022/10/31,2023,0,,LAC,HOU,1470.547157,1340.728124,0.789671211,0.210328789,1472.264056,1339.011224,,,,,,,1498.975393,1292.027949,0.834996173,0.165003827,95,93,12,7,10
2022/11/1,2023,0,,BRK,CHI,1480.935004,1452.963274,0.676266043,0.323733957,1466.268132,1467.630147,,,,,,,1543.525594,1486.652627,0.621078894,0.378921106,99,108,57,59,58
2022/11/1,2023,0,,MIA,GSW,1571.717153,1608.971206,0.589329609,0.410670391,1578.296632,1602.391727,,,,,,,1597.801544,1588.408427,0.601400535,0.398599465,116,109,84,35,60
2022/11/1,2023,0,,OKC,ORL,1398.403467,1370.706132,0.675920136,0.324079864,1403.74285,1365.366749,,,,,,,1386.532954,1338.936408,0.677287876,0.322712124,116,108,7,2,5
2022/11/1,2023,0,,PHO,MIN,1627.405025,1529.66615,0.757363055,0.242636945,1631.483431,1525.587744,,,,,,,1606.895804,1573.859997,0.664065893,0.335934107,116,107,83,27,55
2022/11/2,2023,0,,PHI,WAS,1589.832005,1428.347431,0.818352653,0.181647347,1568.354172,1449.825264,,,,,,,1555.570323,1439.660394,0.745222104,0.254777896,111,121,48,16,32
2022/11/2,2023,0,,CLE,BOS,1550.189294,1636.111045,0.520249149,0.479750851,1554.024322,1632.276017,,,,,,,1571.264033,1662.457262,0.483560425,0.516439575,114,113,89,23,56
2022/11/2,2023,0,,MIA,SAC,1578.296632,1411.454945,0.822891851,0.177108149,1579.928549,1409.823028,,,,,,,1548.703282,1438.892544,0.688811352,0.311188648,110,107,47,26,37
2022/11/2,2023,0,,NYK,ATL,1519.573388,1522.556396,0.636099543,0.363900457,1502.67377,1539.456014,,,,,,,1538.151236,1562.12471,0.566285144,0.433714856,99,112,71,54,63
2022/11/2,2023,0,,CHI,CHO,1467.630147,1521.987288,0.565310073,0.434689927,1480.404781,1509.212654,,,,,,,1492.67359,1454.761634,0.594778842,0.405221158,106,88,40,62,51
2022/11/2,2023,0,,MIL,DET,1609.530483,1375.433417,0.872496776,0.127503224,1613.388326,1371.575574,,,,,,,1611.860458,1350.767625,0.874222429,0.125777571,116,91,38,1,20
