Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Detroit Pistons,New York Knicks,0022200648,104,0.261,0.454,0.356,0.772,41.9,22.2,14.6,7.0,3.5,-7.2,110.8,117.8,0.564,117,0.558,0.455,0.338,0.776,47.5,22.7,13.3,6.6,4.2,2.8,114.2,111.7,0.561,0,01/15/2023
Denver Nuggets,Orlando Magic,0022200653,119,0.69,0.509,0.401,0.753,43.5,28.7,15.1,7.2,4.4,4.0,117.5,113.3,0.609,116,0.372,0.469,0.345,0.79,43.1,22.3,15.5,7.0,4.7,-3.8,110.6,114.3,0.574,1,01/15/2023
LA Clippers,Houston Rockets,0022200649,121,0.5,0.461,0.368,0.763,44.5,23.0,15.0,6.7,4.6,-1.1,109.9,111.1,0.569,100,0.238,0.444,0.332,0.762,46.4,21.9,16.8,7.5,4.5,-7.5,108.9,116.7,0.55,1,01/15/2023
Portland Trail Blazers,Dallas Mavericks,0022200654,140,0.476,0.479,0.372,0.776,43.7,24.5,15.9,6.8,4.2,0.3,113.8,113.5,0.591,123,0.545,0.471,0.36,0.741,39.6,22.3,12.8,6.9,4.3,0.8,114.5,114.0,0.594,1,01/15/2023
Los Angeles Lakers,Philadelphia 76ers,0022200655,112,0.452,0.483,0.337,0.791,43.5,24.0,14.3,6.4,4.5,-1.2,112.2,113.1,0.581,113,0.619,0.478,0.38,0.825,40.9,25.1,14.2,8.1,4.9,3.7,114.4,110.4,0.596,0,01/15/2023
Brooklyn Nets,Oklahoma City Thunder,0022200651,102,0.659,0.51,0.392,0.803,40.7,26.6,14.7,7.2,7.1,3.6,115.4,111.6,0.615,112,0.465,0.466,0.356,0.795,42.6,23.4,13.5,7.9,5.0,0.5,112.5,112.1,0.567,0,01/15/2023
San Antonio Spurs,Sacramento Kings,0022200652,119,0.302,0.472,0.345,0.739,41.9,26.5,15.5,6.9,4.1,-8.8,110.1,119.2,0.561,132,0.561,0.491,0.367,0.791,41.1,26.5,14.1,6.7,3.2,2.6,116.9,114.4,0.606,0,01/15/2023
Chicago Bulls,Golden State Warriors,0022200650,132,0.442,0.487,0.373,0.816,41.6,24.0,13.5,7.3,4.7,-1.0,112.5,113.5,0.588,118,0.5,0.472,0.372,0.796,42.5,28.1,16.0,6.6,3.8,-0.3,112.8,113.2,0.592,1,01/15/2023
New York Knicks,Toronto Raptors,0022200659,121,0.568,0.455,0.339,0.777,47.7,22.6,13.2,6.5,4.3,3.1,114.5,111.7,0.562,123,0.442,0.449,0.329,0.796,42.9,23.3,12.2,9.5,5.1,0.3,113.1,112.8,0.552,0,01/16/2023
Charlotte Hornets,Boston Celtics,0022200656,118,0.25,0.45,0.328,0.749,44.2,24.6,13.6,7.5,4.8,-6.5,108.9,115.6,0.544,130,0.727,0.478,0.369,0.829,43.9,26.5,13.2,6.4,5.3,6.3,117.4,110.8,0.603,0,01/16/2023
Atlanta Hawks,Miami Heat,0022200661,121,0.488,0.468,0.337,0.82,42.8,23.2,12.4,6.8,4.9,-0.9,111.5,112.8,0.563,113,0.545,0.452,0.34,0.828,42.2,23.9,13.7,8.6,3.2,0.3,111.0,110.9,0.565,1,01/16/2023
Cleveland Cavaliers,New Orleans Pelicans,0022200658,113,0.614,0.482,0.36,0.781,43.4,24.1,14.4,6.7,4.1,4.6,113.8,109.3,0.587,103,0.605,0.48,0.365,0.78,44.3,25.5,14.8,8.4,4.3,4.0,114.8,110.8,0.583,1,01/16/2023
Milwaukee Bucks,Indiana Pacers,0022200657,132,0.628,0.452,0.348,0.737,48.3,24.2,15.1,6.5,5.1,0.9,110.5,109.6,0.56,119,0.523,0.459,0.362,0.802,41.4,26.2,14.8,7.7,5.8,-0.5,112.9,113.5,0.576,1,01/16/2023
Minnesota Timberwolves,Utah Jazz,0022200662,125,0.5,0.494,0.346,0.776,40.7,24.8,15.7,8.1,5.1,-0.4,112.6,112.7,0.593,126,0.478,0.471,0.36,0.787,43.6,25.5,15.2,7.0,4.7,0.7,115.9,114.9,0.587,0,01/16/2023
Los Angeles Lakers,Houston Rockets,0022200664,140,0.442,0.484,0.337,0.791,43.4,24.1,14.2,6.4,4.6,-1.2,112.3,113.2,0.581,132,0.233,0.444,0.329,0.762,46.2,21.9,16.9,7.5,4.6,-7.8,108.7,116.7,0.549,1,01/16/2023
Washington Wizards,Golden State Warriors,0022200660,118,0.419,0.479,0.343,0.774,44.1,24.7,14.1,6.7,5.3,-1.4,111.7,113.1,0.577,127,0.488,0.472,0.373,0.793,42.4,28.2,16.2,6.6,3.8,-0.6,112.7,113.4,0.593,0,01/16/2023
Memphis Grizzlies,Phoenix Suns,0022200663,136,0.69,0.472,0.349,0.711,47.9,24.7,14.1,7.8,6.0,5.2,114.3,109.0,0.563,106,0.477,0.464,0.386,0.798,43.7,26.9,14.4,7.1,5.0,1.1,114.0,112.6,0.57,1,01/16/2023
San Antonio Spurs,Brooklyn Nets,0022200666,106,0.295,0.473,0.345,0.737,41.9,26.5,15.4,6.8,4.1,-8.9,110.4,119.5,0.561,98,0.643,0.508,0.388,0.799,41.0,26.6,14.7,7.1,7.1,3.3,115.1,111.6,0.612,1,01/17/2023
LA Clippers,Philadelphia 76ers,0022200668,110,0.511,0.462,0.37,0.762,44.5,22.9,15.1,6.8,4.6,-0.6,110.1,110.8,0.57,120,0.628,0.479,0.379,0.825,40.9,25.2,14.1,8.0,5.0,3.6,114.4,110.5,0.596,0,01/17/2023
Milwaukee Bucks,Toronto Raptors,0022200665,130,0.636,0.454,0.352,0.739,48.1,24.4,15.1,6.5,5.0,1.1,111.0,109.8,0.562,122,0.455,0.447,0.328,0.797,42.9,23.4,12.0,9.5,5.3,0.3,113.3,113.0,0.552,1,01/17/2023
Denver Nuggets,Portland Trail Blazers,0022200667,122,0.698,0.509,0.399,0.749,43.5,28.8,15.1,7.2,4.4,4.0,117.5,113.4,0.609,113,0.488,0.479,0.373,0.78,43.7,24.6,15.7,6.7,4.3,0.7,114.5,113.8,0.593,1,01/17/2023
Los Angeles Lakers,Sacramento Kings,0022200677,111,0.455,0.486,0.338,0.793,43.3,24.1,13.9,6.3,4.6,-1.0,113.0,113.7,0.583,116,0.571,0.493,0.369,0.791,41.1,26.5,13.9,6.7,3.2,2.9,117.3,114.6,0.607,0,01/18/2023
New York Knicks,Washington Wizards,0022200669,105,0.556,0.454,0.338,0.778,47.8,22.5,13.2,6.5,4.3,2.9,114.6,111.9,0.561,116,0.409,0.48,0.344,0.776,43.9,24.8,14.1,6.7,5.2,-1.6,111.8,113.4,0.578,0,01/18/2023
Houston Rockets,Charlotte Hornets,0022200671,117,0.227,0.445,0.33,0.761,46.2,22.1,16.7,7.4,4.6,-7.8,109.2,117.3,0.55,122,0.244,0.45,0.33,0.75,44.2,24.6,13.4,7.5,4.7,-6.6,109.2,116.1,0.544,0,01/18/2023
Utah Jazz,LA Clippers,0022200675,126,0.489,0.472,0.36,0.788,43.8,25.5,15.2,6.8,4.7,0.7,116.1,115.2,0.588,103,0.5,0.463,0.37,0.763,44.2,22.9,15.2,6.8,4.6,-0.8,110.2,111.1,0.571,1,01/18/2023
Dallas Mavericks,Atlanta Hawks,0022200670,122,0.533,0.47,0.359,0.743,39.6,22.5,12.7,6.8,4.2,0.4,114.8,114.7,0.594,130,0.5,0.471,0.34,0.82,42.5,23.3,12.5,6.8,4.9,-0.8,111.7,112.8,0.566,0,01/18/2023
Denver Nuggets,Minnesota Timberwolves,0022200676,122,0.705,0.509,0.398,0.751,43.5,28.9,15.1,7.3,4.5,4.1,117.7,113.4,0.609,118,0.489,0.493,0.349,0.777,40.7,24.9,15.5,8.1,5.1,-0.4,112.9,113.1,0.593,1,01/18/2023
Memphis Grizzlies,Cleveland Cavaliers,0022200672,115,0.698,0.473,0.351,0.713,48.0,24.8,14.0,7.8,6.0,5.8,114.7,108.9,0.565,114,0.622,0.482,0.36,0.781,43.4,24.1,14.5,6.6,4.1,4.7,113.9,109.2,0.587,1,01/18/2023
Oklahoma City Thunder,Indiana Pacers,0022200674,126,0.477,0.465,0.357,0.795,42.7,23.4,13.4,7.8,5.0,0.7,112.5,111.9,0.567,106,0.511,0.46,0.365,0.804,41.3,26.2,14.8,7.7,5.8,-0.8,113.0,113.9,0.578,1,01/18/2023
New Orleans Pelicans,Miami Heat,0022200673,98,0.591,0.481,0.365,0.78,44.0,25.5,14.8,8.4,4.2,3.7,114.6,110.9,0.583,124,0.533,0.453,0.338,0.831,42.2,24.0,13.8,8.6,3.2,0.1,111.1,111.2,0.565,0,01/18/2023
Boston Celtics,Golden State Warriors,0022200679,121,0.733,0.478,0.371,0.832,44.0,26.7,13.2,6.3,5.3,6.4,117.8,111.2,0.605,118,0.5,0.473,0.374,0.796,42.4,28.2,16.1,6.6,3.7,-0.4,113.0,113.4,0.594,1,01/19/2023
Phoenix Suns,Brooklyn Nets,0022200681,117,0.467,0.464,0.384,0.801,43.5,27.0,14.4,7.0,5.0,0.4,113.8,113.1,0.57,112,0.628,0.506,0.384,0.801,41.1,26.4,14.9,7.2,7.1,3.1,114.5,111.2,0.609,1,01/19/2023
Detroit Pistons,Chicago Bulls,0022200678,108,0.255,0.454,0.358,0.772,41.9,22.2,14.6,7.0,3.5,-7.3,110.8,118.0,0.564,126,0.455,0.488,0.373,0.817,41.5,24.0,13.4,7.4,4.6,-0.6,112.8,113.4,0.589,0,01/19/2023
Portland Trail Blazers,Philadelphia 76ers,0022200682,95,0.477,0.479,0.372,0.784,43.5,24.5,15.7,6.6,4.3,0.5,114.5,114.1,0.593,105,0.636,0.48,0.38,0.825,40.8,25.2,14.1,8.1,5.0,3.8,114.7,110.6,0.598,0,01/19/2023
Minnesota Timberwolves,Toronto Raptors,0022200680,128,0.478,0.493,0.349,0.777,40.6,24.9,15.5,8.1,5.2,-0.5,113.0,113.2,0.594,126,0.444,0.448,0.329,0.793,43.0,23.3,12.0,9.4,5.3,0.1,113.5,113.3,0.551,1,01/19/2023
Orlando Magic,New Orleans Pelicans,0022200683,123,0.364,0.469,0.343,0.791,43.0,22.4,15.4,7.0,4.6,-3.8,110.8,114.4,0.574,110,0.578,0.481,0.366,0.777,43.9,25.6,14.9,8.4,4.2,3.0,114.4,111.3,0.583,1,01/20/2023
Cleveland Cavaliers,Golden State Warriors,0022200685,114,0.609,0.482,0.362,0.779,43.6,24.2,14.6,6.6,4.2,4.6,114.0,109.4,0.588,120,0.489,0.471,0.374,0.798,42.3,28.1,16.0,6.6,3.7,-0.4,112.7,113.2,0.592,0,01/20/2023
Atlanta Hawks,New York Knicks,0022200684,139,0.511,0.473,0.343,0.822,42.3,23.4,12.5,6.8,4.9,-0.6,112.2,113.0,0.568,124,0.543,0.453,0.337,0.775,47.9,22.4,13.1,6.5,4.3,2.6,114.5,112.2,0.559,1,01/20/2023
Dallas Mavericks,Miami Heat,0022200686,115,0.522,0.472,0.359,0.744,39.4,22.6,12.8,6.8,4.2,0.2,115.0,115.0,0.595,90,0.543,0.455,0.338,0.83,42.2,24.3,13.7,8.7,3.2,0.7,111.5,111.1,0.566,1,01/20/2023
San Antonio Spurs,LA Clippers,0022200687,126,0.311,0.471,0.342,0.741,42.1,26.4,15.3,6.9,4.1,-8.6,110.1,118.8,0.559,131,0.489,0.462,0.371,0.761,44.4,22.9,15.2,6.7,4.7,-1.2,110.2,111.6,0.57,0,01/20/2023
Utah Jazz,Brooklyn Nets,0022200689,106,0.5,0.473,0.364,0.787,43.8,25.5,15.1,6.8,4.8,1.2,116.5,115.1,0.59,117,0.614,0.507,0.385,0.795,40.9,26.4,14.8,7.3,7.1,2.9,114.4,111.3,0.609,0,01/20/2023
Denver Nuggets,Indiana Pacers,0022200688,134,0.711,0.51,0.397,0.751,43.2,28.8,15.1,7.3,4.4,4.1,117.8,113.5,0.609,111,0.5,0.459,0.365,0.801,41.3,26.1,15.0,7.7,5.9,-1.2,112.6,114.0,0.576,1,01/20/2023
Los Angeles Lakers,Memphis Grizzlies,0022200690,122,0.444,0.486,0.337,0.793,43.2,24.2,13.8,6.4,4.5,-1.1,113.0,113.8,0.583,121,0.705,0.473,0.351,0.713,47.9,24.7,13.9,7.8,6.0,5.7,114.8,109.1,0.565,1,01/20/2023
Sacramento Kings,Oklahoma City Thunder,0022200691,118,0.581,0.493,0.367,0.791,41.3,26.4,13.9,6.6,3.3,2.9,117.4,114.6,0.607,113,0.489,0.466,0.358,0.794,42.7,23.7,13.5,7.9,5.1,1.1,112.7,111.6,0.568,1,01/20/2023
Toronto Raptors,Boston Celtics,0022200692,104,0.435,0.449,0.332,0.792,42.9,23.4,12.1,9.4,5.3,0.1,113.7,113.6,0.553,106,0.739,0.476,0.37,0.83,44.2,26.5,13.2,6.4,5.3,6.3,117.5,110.9,0.602,0,01/21/2023
Washington Wizards,Orlando Magic,0022200693,138,0.422,0.479,0.345,0.777,44.2,24.9,14.1,6.7,5.3,-1.3,112.0,113.3,0.577,118,0.378,0.47,0.346,0.793,43.0,22.5,15.4,6.9,4.7,-3.4,111.1,114.3,0.577,1,01/21/2023
Cleveland Cavaliers,Milwaukee Bucks,0022200695,114,0.596,0.483,0.363,0.78,43.4,24.2,14.6,6.6,4.3,4.4,114.1,109.7,0.588,102,0.644,0.456,0.355,0.742,48.0,24.4,15.0,6.5,5.0,1.3,111.4,110.1,0.565,1,01/21/2023
Atlanta Hawks,Charlotte Hornets,0022200694,118,0.522,0.475,0.344,0.823,42.3,23.5,12.4,6.8,4.9,-0.2,112.9,113.4,0.57,122,0.261,0.451,0.328,0.748,44.0,24.6,13.3,7.7,4.8,-6.3,109.4,116.0,0.545,0,01/21/2023
Minnesota Timberwolves,Houston Rockets,0022200696,113,0.489,0.493,0.351,0.78,40.5,25.0,15.5,8.1,5.2,-0.4,113.3,113.5,0.595,104,0.222,0.447,0.33,0.761,46.2,22.0,16.7,7.3,4.6,-7.8,109.3,117.3,0.551,1,01/21/2023
Phoenix Suns,Indiana Pacers,0022200697,112,0.478,0.464,0.384,0.796,43.6,27.0,14.4,6.9,4.9,0.5,113.8,113.0,0.57,107,0.489,0.459,0.363,0.8,41.3,26.1,15.1,7.7,5.8,-1.7,112.6,114.4,0.576,1,01/21/2023
Sacramento Kings,Philadelphia 76ers,0022200698,127,0.591,0.492,0.366,0.793,41.5,26.4,13.9,6.5,3.2,3.0,117.4,114.6,0.606,129,0.644,0.481,0.379,0.825,40.8,25.2,14.1,8.1,5.0,3.9,114.5,110.4,0.598,0,01/21/2023
Golden State Warriors,Brooklyn Nets,0022200704,116,0.5,0.471,0.377,0.795,42.4,28.0,16.0,6.7,3.8,-0.3,112.9,113.3,0.593,120,0.622,0.507,0.386,0.792,41.0,26.4,14.7,7.3,7.1,3.1,114.6,111.3,0.61,0,01/22/2023
Phoenix Suns,Memphis Grizzlies,0022200703,112,0.489,0.463,0.384,0.792,43.8,27.0,14.4,7.0,5.0,0.6,113.6,112.7,0.569,110,0.689,0.472,0.35,0.711,48.1,24.7,13.9,7.8,6.0,5.5,114.8,109.2,0.563,1,01/22/2023
Miami Heat,New Orleans Pelicans,0022200699,100,0.532,0.455,0.337,0.827,42.2,24.2,13.8,8.6,3.1,0.1,111.2,111.4,0.566,96,0.565,0.48,0.364,0.777,43.8,25.6,14.9,8.4,4.2,2.7,114.3,111.6,0.582,1,01/22/2023
Portland Trail Blazers,Los Angeles Lakers,0022200705,112,0.467,0.476,0.368,0.783,43.6,24.4,15.7,6.6,4.2,0.3,114.2,113.9,0.591,121,0.457,0.484,0.337,0.793,43.2,24.1,13.7,6.4,4.6,-1.0,113.1,113.8,0.582,0,01/22/2023
Dallas Mavericks,LA Clippers,0022200701,98,0.532,0.471,0.362,0.745,39.4,22.6,12.7,6.8,4.1,0.7,115.2,114.7,0.596,112,0.5,0.465,0.374,0.76,44.3,23.1,15.1,6.6,4.6,-1.1,110.9,112.1,0.573,0,01/22/2023
Denver Nuggets,Oklahoma City Thunder,0022200702,99,0.717,0.512,0.399,0.749,43.1,29.0,15.2,7.5,4.4,4.5,118.1,113.4,0.611,101,0.478,0.467,0.359,0.792,42.5,23.7,13.4,7.8,5.0,1.0,112.7,111.8,0.568,0,01/22/2023
Toronto Raptors,New York Knicks,0022200700,125,0.426,0.451,0.332,0.791,42.9,23.4,12.1,9.4,5.4,0.0,113.5,113.5,0.554,116,0.532,0.456,0.339,0.775,47.6,22.5,13.1,6.5,4.3,2.3,114.9,112.9,0.561,1,01/22/2023
Chicago Bulls,Atlanta Hawks,0022200708,111,0.467,0.489,0.372,0.819,41.6,24.0,13.4,7.5,4.6,-0.2,112.9,113.1,0.59,100,0.511,0.476,0.346,0.824,42.2,23.5,12.5,6.8,4.9,-0.3,112.9,113.5,0.571,1,01/23/2023
Orlando Magic,Boston Celtics,0022200707,113,0.37,0.47,0.348,0.794,42.9,22.5,15.3,6.8,4.8,-3.8,111.2,114.8,0.577,98,0.745,0.475,0.371,0.831,44.2,26.5,13.3,6.4,5.3,6.2,117.3,110.8,0.601,1,01/23/2023
Houston Rockets,Minnesota Timberwolves,0022200709,119,0.217,0.447,0.33,0.756,46.4,22.0,16.9,7.2,4.7,-7.8,109.1,117.1,0.551,114,0.5,0.493,0.353,0.781,40.3,24.9,15.4,8.2,5.3,-0.2,113.2,113.2,0.595,1,01/23/2023
Sacramento Kings,Memphis Grizzlies,0022200712,133,0.578,0.493,0.367,0.792,41.3,26.4,13.8,6.5,3.3,2.9,117.7,115.0,0.607,100,0.674,0.471,0.35,0.711,48.2,24.7,14.0,7.8,6.0,5.4,114.6,109.2,0.562,1,01/23/2023
Detroit Pistons,Milwaukee Bucks,0022200706,130,0.25,0.453,0.355,0.773,42.0,22.3,14.6,7.0,3.5,-7.5,110.6,118.0,0.562,150,0.63,0.456,0.355,0.744,47.8,24.4,15.1,6.4,5.0,1.0,111.4,110.3,0.565,0,01/23/2023
Utah Jazz,Charlotte Hornets,0022200710,120,0.49,0.472,0.365,0.786,43.9,25.5,15.0,6.8,4.7,0.9,116.4,115.2,0.589,102,0.277,0.453,0.33,0.75,43.8,24.7,13.3,7.7,4.8,-6.1,109.5,115.9,0.546,1,01/23/2023
Portland Trail Blazers,San Antonio Spurs,0022200711,147,0.457,0.475,0.368,0.784,43.4,24.4,15.6,6.5,4.3,0.1,114.1,114.1,0.59,127,0.304,0.473,0.346,0.741,42.0,26.6,15.2,6.8,4.1,-8.5,110.7,119.4,0.561,1,01/23/2023
Los Angeles Lakers,LA Clippers,0022200719,115,0.468,0.485,0.337,0.793,43.4,24.1,13.7,6.4,4.6,-0.8,113.3,113.8,0.583,133,0.51,0.465,0.375,0.766,44.4,23.1,15.0,6.6,4.6,-0.8,111.1,112.0,0.574,0,01/24/2023
New York Knicks,Cleveland Cavaliers,0022200715,105,0.521,0.457,0.342,0.774,47.7,22.7,13.2,6.5,4.3,2.0,115.0,113.2,0.563,103,0.604,0.484,0.363,0.778,43.4,24.5,14.5,6.6,4.3,4.5,114.2,109.7,0.589,1,01/24/2023
Phoenix Suns,Charlotte Hornets,0022200718,128,0.5,0.462,0.384,0.794,43.7,26.9,14.5,7.0,5.0,0.7,113.4,112.6,0.569,97,0.271,0.452,0.327,0.749,43.7,24.6,13.3,7.7,4.8,-6.4,109.3,116.0,0.546,1,01/24/2023
Miami Heat,Boston Celtics,0022200714,98,0.542,0.455,0.335,0.827,42.3,24.0,14.0,8.7,3.1,0.2,111.0,111.0,0.565,95,0.729,0.475,0.372,0.83,44.1,26.4,13.4,6.4,5.3,5.8,117.0,110.9,0.6,1,01/24/2023
Dallas Mavericks,Washington Wizards,0022200717,126,0.521,0.471,0.362,0.742,39.5,22.5,12.7,6.7,4.1,0.4,115.1,114.9,0.594,127,0.435,0.48,0.35,0.776,44.2,25.1,14.0,6.7,5.3,-0.8,112.5,113.4,0.579,0,01/24/2023
Indiana Pacers,Chicago Bulls,0022200713,116,0.479,0.457,0.363,0.801,41.4,25.9,15.1,7.7,5.8,-1.7,112.3,114.2,0.574,110,0.478,0.488,0.371,0.817,41.7,24.1,13.4,7.6,4.6,0.0,112.9,112.9,0.588,1,01/24/2023
New Orleans Pelicans,Denver Nuggets,0022200716,98,0.553,0.48,0.362,0.777,43.7,25.6,15.1,8.5,4.2,2.5,113.9,111.4,0.582,99,0.702,0.51,0.398,0.742,43.2,29.0,15.1,7.5,4.4,4.4,118.0,113.4,0.609,0,01/24/2023
Oklahoma City Thunder,Atlanta Hawks,0022200725,132,0.489,0.466,0.358,0.794,42.8,23.7,13.3,7.8,5.0,1.0,112.7,111.7,0.568,137,0.5,0.476,0.345,0.82,42.3,23.6,12.7,6.8,4.9,-0.5,112.7,113.4,0.571,0,01/25/2023
Sacramento Kings,Toronto Raptors,0022200728,95,0.587,0.495,0.371,0.794,41.5,26.6,14.0,6.6,3.3,3.5,117.9,114.5,0.609,113,0.438,0.451,0.335,0.792,42.9,23.4,12.0,9.4,5.3,0.2,113.9,113.6,0.554,0,01/25/2023
Los Angeles Lakers,San Antonio Spurs,0022200729,113,0.458,0.484,0.338,0.789,43.2,24.1,13.6,6.4,4.6,-1.2,113.4,114.3,0.582,104,0.298,0.474,0.348,0.742,41.9,26.7,15.2,6.8,4.1,-8.7,111.0,119.9,0.563,1,01/25/2023
Orlando Magic,Indiana Pacers,0022200720,126,0.383,0.471,0.349,0.792,42.9,22.5,15.2,6.9,4.7,-3.4,111.3,114.5,0.577,120,0.49,0.456,0.361,0.801,41.4,25.9,15.0,7.8,5.9,-1.6,112.4,114.2,0.573,1,01/25/2023
Golden State Warriors,Memphis Grizzlies,0022200726,122,0.489,0.471,0.377,0.795,42.4,28.0,16.0,6.8,3.7,-0.4,112.9,113.4,0.593,120,0.66,0.47,0.349,0.712,47.8,24.8,14.0,7.9,5.9,4.6,114.2,109.6,0.561,1,01/25/2023
Philadelphia 76ers,Brooklyn Nets,0022200721,137,0.652,0.482,0.38,0.825,41.0,25.2,14.2,8.0,5.0,3.9,114.9,110.8,0.599,133,0.63,0.508,0.389,0.787,41.0,26.5,14.8,7.2,7.1,3.1,114.7,111.4,0.611,1,01/25/2023
Houston Rockets,Washington Wizards,0022200722,103,0.234,0.448,0.331,0.754,46.3,22.0,17.0,7.3,4.7,-7.5,109.2,116.9,0.552,108,0.447,0.481,0.35,0.776,44.1,25.2,13.9,6.7,5.3,-0.8,112.8,113.6,0.58,0,01/25/2023
Milwaukee Bucks,Denver Nuggets,0022200723,107,0.638,0.458,0.357,0.743,47.7,24.6,15.1,6.5,5.0,1.4,111.8,110.4,0.568,99,0.708,0.51,0.397,0.743,43.1,29.0,15.0,7.5,4.5,4.3,117.8,113.3,0.608,1,01/25/2023
New Orleans Pelicans,Minnesota Timberwolves,0022200724,102,0.542,0.479,0.359,0.778,43.8,25.5,15.1,8.5,4.2,2.5,113.8,111.3,0.58,111,0.49,0.492,0.354,0.78,40.3,24.7,15.5,8.2,5.3,-0.3,113.1,113.2,0.594,0,01/25/2023
Portland Trail Blazers,Utah Jazz,0022200727,134,0.468,0.478,0.373,0.784,43.3,24.6,15.5,6.6,4.3,0.5,114.8,114.4,0.593,124,0.5,0.472,0.366,0.787,43.9,25.5,15.0,6.8,4.7,1.3,116.4,114.9,0.589,1,01/25/2023
Brooklyn Nets,Detroit Pistons,0022200731,122,0.617,0.511,0.392,0.787,40.8,26.6,14.8,7.1,7.0,2.9,115.2,112.0,0.614,130,0.245,0.454,0.356,0.773,41.9,22.3,14.7,7.0,3.5,-7.7,110.7,118.3,0.564,0,01/26/2023
Boston Celtics,New York Knicks,0022200730,117,0.714,0.474,0.371,0.829,44.1,26.4,13.5,6.4,5.3,5.6,116.7,110.8,0.6,120,0.531,0.457,0.345,0.772,47.6,22.7,13.3,6.4,4.2,2.0,114.9,113.2,0.564,0,01/26/2023
LA Clippers,San Antonio Spurs,0022200735,138,0.52,0.467,0.378,0.766,44.5,23.2,15.0,6.6,4.7,-0.4,111.7,112.2,0.577,100,0.292,0.472,0.346,0.744,42.0,26.6,15.1,6.9,4.0,-8.7,110.7,119.6,0.56,1,01/26/2023
Phoenix Suns,Dallas Mavericks,0022200734,95,0.51,0.463,0.388,0.795,43.9,27.2,14.5,6.9,5.1,1.3,113.7,112.2,0.57,99,0.51,0.472,0.361,0.744,39.4,22.5,12.6,6.7,4.1,0.4,115.3,115.1,0.595,0,01/26/2023
Houston Rockets,Cleveland Cavaliers,0022200733,95,0.229,0.448,0.329,0.753,46.6,22.2,16.9,7.2,4.8,-7.5,109.1,116.7,0.551,113,0.592,0.484,0.363,0.777,43.4,24.6,14.5,6.7,4.3,4.4,114.2,109.8,0.588,0,01/26/2023
Charlotte Hornets,Chicago Bulls,0022200732,111,0.265,0.452,0.326,0.749,43.6,24.5,13.3,7.8,4.8,-6.9,109.0,116.1,0.544,96,0.468,0.488,0.368,0.815,41.8,24.0,13.4,7.5,4.6,-0.1,112.8,113.0,0.588,1,01/26/2023
Golden State Warriors,Toronto Raptors,0022200740,129,0.5,0.472,0.378,0.795,42.4,28.1,16.1,6.8,3.7,-0.3,113.0,113.4,0.593,117,0.449,0.452,0.334,0.791,43.0,23.5,12.0,9.5,5.4,0.6,114.0,113.4,0.555,1,01/27/2023
Miami Heat,Orlando Magic,0022200738,110,0.551,0.453,0.335,0.826,42.5,24.0,13.9,8.7,3.0,0.3,110.8,110.8,0.563,105,0.396,0.473,0.353,0.791,42.7,22.8,15.3,6.9,4.8,-3.2,111.7,114.7,0.579,1,01/27/2023
Indiana Pacers,Milwaukee Bucks,0022200736,131,0.48,0.456,0.362,0.801,41.3,25.9,15.0,7.9,5.8,-1.7,112.6,114.5,0.573,141,0.646,0.458,0.359,0.742,47.7,24.4,15.3,6.6,5.1,1.5,111.6,110.1,0.568,0,01/27/2023
Minnesota Timberwolves,Memphis Grizzlies,0022200737,111,0.5,0.492,0.354,0.779,40.2,24.7,15.4,8.2,5.3,-0.2,113.1,113.0,0.594,100,0.646,0.47,0.349,0.711,47.5,24.8,14.0,7.9,5.8,4.4,114.2,109.8,0.561,1,01/27/2023
Oklahoma City Thunder,Cleveland Cavaliers,0022200739,112,0.479,0.467,0.359,0.792,42.6,23.8,13.3,7.9,4.9,0.9,113.0,112.1,0.568,100,0.6,0.483,0.364,0.778,43.3,24.7,14.4,6.8,4.3,4.7,114.3,109.6,0.588,1,01/27/2023
Philadelphia 76ers,Denver Nuggets,0022200741,126,0.66,0.482,0.382,0.83,40.9,25.3,14.1,8.1,5.0,3.9,115.4,111.3,0.601,119,0.694,0.507,0.395,0.743,43.2,28.8,15.1,7.6,4.5,4.1,117.2,113.0,0.606,1,01/28/2023
San Antonio Spurs,Phoenix Suns,0022200748,118,0.286,0.471,0.345,0.742,42.0,26.5,15.1,6.8,3.9,-9.3,110.5,120.0,0.56,128,0.5,0.462,0.388,0.795,44.1,27.1,14.4,6.9,5.1,1.2,113.6,112.2,0.569,0,01/28/2023
Brooklyn Nets,New York Knicks,0022200742,122,0.604,0.509,0.39,0.789,40.8,26.5,14.8,7.1,7.0,2.7,115.3,112.3,0.613,115,0.54,0.457,0.345,0.773,47.6,22.6,13.2,6.4,4.2,2.1,114.9,113.1,0.564,1,01/28/2023
Boston Celtics,Los Angeles Lakers,0022200749,125,0.7,0.472,0.37,0.829,44.3,26.2,13.4,6.3,5.3,5.5,116.6,110.9,0.598,121,0.469,0.483,0.337,0.789,43.4,24.1,13.7,6.5,4.7,-1.0,113.2,113.9,0.581,1,01/28/2023
