eloh_pre,eloa_pre,eloh_post,eloa_post,Result
1322.438807,1341.860356,1310.522598,1353.776564,0
1582.44347,1485.450408,1584.794735,1483.099143,1
1524.555424,1442.467582,1506.567571,1460.455435,0
1418.686047,1317.483358,1402.216155,1333.95325,0
1612.77467,1477.561716,1597.633975,1492.702411,0
1610.846185,1568.698569,1613.91961,1565.625144,1
1646.913786,1483.099143,1624.014842,1505.998087,0
1587.372707,1551.177817,1598.519568,1540.030956,1
1480.785274,1527.307502,1465.296755,1542.796021,0
1518.612124,1393.215931,1482.925047,1428.903007,0
1500.915631,1609.609605,1510.962862,1599.562374,1
1448.338665,1353.776564,1455.312687,1346.802543,1
1310.522598,1569.532209,1304.619679,1575.435128,0
1584.794735,1526.132798,1589.740876,1521.186657,1
1460.455435,1534.203904,1468.677363,1525.981976,1
1506.567571,1631.77279,1489.13559,1649.20477,0
1333.95325,1457.663603,1339.214139,1452.402715,1
1402.216155,1593.561304,1395.929772,1599.847687,0
1613.91961,1428.903007,1619.277238,1423.545379,1
1325.0688,1540.70293,1317.837396,1547.934334,0
1455.312687,1510.962862,1459.386556,1506.888993,1
1624.014842,1565.625144,1611.381608,1578.258378,0
1505.998087,1597.633975,1512.820428,1590.811633,1
1492.702411,1346.802543,1477.210886,1362.294068,0
1395.929772,1489.13559,1406.667472,1478.397891,1
1482.925047,1465.296755,1488.516577,1459.705225,1
1619.277238,1540.030956,1601.413593,1557.894601,0
1304.619679,1649.20477,1298.136798,1655.687652,0
1521.186657,1599.562374,1536.287501,1584.46153,1
1589.740876,1575.435128,1603.078639,1562.097365,1
1468.677363,1598.519568,1475.71155,1591.485381,1
1339.214139,1599.847687,1329.841074,1609.220752,0
1488.516577,1557.894601,1471.531065,1574.880113,0
1525.981976,1512.820428,1531.687873,1507.114531,1
1459.386556,1506.888993,1450.104391,1516.171158,0
1362.294068,1452.402715,1344.141869,1470.554913,0
1562.097365,1477.210886,1565.242243,1474.066009,1
1542.796021,1603.078639,1551.709159,1594.165502,1
1536.287501,1317.837396,1539.634334,1314.490563,1
1423.545379,1655.687652,1420.32463,1658.908401,0
1547.934334,1406.667472,1550.289055,1404.312751,1
1478.397891,1298.136798,1484.900993,1291.633695,1
1329.841074,1578.258378,1323.302088,1584.797364,0
1609.220752,1591.485381,1586.917254,1613.788879,0
1601.413593,1459.705225,1605.707121,1455.411696,1
1611.381608,1590.811633,1626.255336,1575.937906,1
1531.687873,1314.490563,1513.838389,1332.340047,0
1586.917254,1450.104391,1590.472018,1446.549627,1
1658.908401,1551.709159,1662.267998,1548.349562,1
1584.797364,1404.312751,1588.446985,1400.66313,1
1344.141869,1507.114531,1355.417039,1495.83936,1
1584.46153,1471.531065,1587.724008,1468.268587,1
1565.242243,1574.880113,1570.135748,1569.986608,1
1539.634334,1516.171158,1546.237356,1509.568136,1
1420.32463,1470.554913,1428.884834,1461.994709,1
1475.71155,1550.289055,1485.139334,1540.86127,1
1323.302088,1291.633695,1330.020473,1284.91531,1
1588.446985,1540.86127,1595.660519,1533.647737,1
1446.549627,1613.788879,1436.215583,1624.122922,0
1626.255336,1474.066009,1630.694585,1469.626759,1
1594.165502,1575.937906,1575.304726,1594.798681,0
1428.884834,1455.411696,1443.219222,1441.077308,1
1484.900993,1605.707121,1497.441953,1593.166162,1
1590.472018,1332.340047,1591.31999,1331.492075,1
1509.568136,1468.268587,1519.232833,1458.603891,1
1662.267998,1548.349562,1665.771141,1544.846419,1
1461.994709,1469.626759,1440.491372,1491.130097,0
1355.417039,1624.122922,1352.711279,1626.828683,0
1587.724008,1330.020473,1589.204041,1328.540441,1
1575.304726,1569.986608,1564.376474,1580.91486,0
1485.139334,1495.83936,1489.044836,1491.933858,1
1400.66313,1593.166162,1417.337113,1576.492179,1
1513.838389,1284.91531,1515.581412,1283.172287,1
1519.232833,1328.540441,1521.215044,1326.558229,1
1589.204041,1331.492075,1590.916401,1329.779714,1
1440.491372,1630.694585,1429.893366,1641.29259,0
1570.135748,1594.798681,1576.376259,1588.55817,1
1546.237356,1489.044836,1551.54801,1483.734182,1
1491.933858,1417.337113,1498.821348,1410.449623,1
1443.219222,1497.441953,1467.127277,1473.533898,1
1533.647737,1595.660519,1538.482592,1590.825663,1
1626.828683,1491.130097,1631.467598,1486.491182,1
1580.91486,1515.581412,1584.719339,1511.776934,1
1576.492179,1544.846419,1580.957282,1540.381316,1
1665.771141,1564.376474,1674.545808,1555.601807,1
1352.711279,1458.603891,1345.825707,1465.489463,0
1441.077308,1674.545808,1437.456249,1678.166866,0
1584.719339,1498.821348,1544.624923,1538.915764,0
1521.215044,1283.172287,1524.212096,1280.175235,1
1436.215583,1591.31999,1430.535491,1597.000082,0
1429.893366,1588.55817,1422.671629,1595.779907,0
1590.916401,1329.779714,1594.77925,1325.916866,1
1641.29259,1473.533898,1632.819215,1482.007274,0
1551.54801,1326.558229,1554.012875,1324.093365,1
1538.482592,1483.734182,1525.967347,1496.249428,0
1410.449623,1467.127277,1395.473408,1482.103491,0
1511.776934,1465.489463,1515.945614,1461.320782,1
1580.957282,1540.381316,1566.800458,1554.53814,0
1345.825707,1590.825663,1340.901157,1595.750213,0
1576.376259,1555.601807,1585.973034,1546.005032,1
1631.467598,1595.779907,1640.749683,1586.497823,1
1437.456249,1554.012875,1423.140606,1568.328518,0
1524.212096,1597.000082,1506.789212,1614.422966,0
1325.916866,1496.249428,1319.542877,1502.623416,0
1430.535491,1678.166866,1426.765781,1681.936576,0
1280.175235,1544.624923,1291.851367,1532.948791,1
1422.671629,1585.973034,1430.533841,1578.110823,1
1594.77925,1340.901157,1597.826765,1337.853642,1
1538.915764,1461.320782,1523.349948,1476.886598,0
1482.103491,1595.750213,1494.330005,1583.523699,1
1482.007274,1486.491182,1465.182752,1503.315704,0
1324.093365,1632.819215,1321.029318,1635.883261,0
1395.473408,1525.967347,1416.845057,1504.595698,1
1640.749683,1578.110823,1647.460823,1571.399682,1
1423.140606,1506.789212,1431.681211,1498.248607,1
1476.886598,1430.533841,1466.872879,1440.54756,0
1515.945614,1681.936576,1502.869191,1695.012999,0
1566.800458,1337.853642,1569.081574,1335.572526,1
1319.542877,1532.948791,1304.177007,1548.314661,0
1635.883261,1416.845057,1626.521165,1426.207153,0
1523.349948,1503.315704,1532.272302,1494.39335,1
1546.005032,1597.826765,1532.974211,1610.857586,0
1502.623416,1494.330005,1512.407054,1484.546368,1
1465.182752,1568.328518,1442.528403,1590.982867,0
1321.029318,1504.595698,1317.569055,1508.055961,0
1586.497823,1484.546368,1579.152999,1491.891192,0
1548.314661,1583.523699,1541.331447,1590.506913,0
1614.422966,1695.012999,1606.129913,1703.306052,0
1426.765781,1304.177007,1431.286451,1299.656337,1
1291.851367,1512.407054,1300.103446,1504.154975,1
1626.521165,1426.207153,1630.777763,1421.950555,1
1554.53814,1508.055961,1542.290306,1520.303795,0
1590.982867,1502.869191,1573.863504,1519.988554,0
1466.872879,1335.572526,1469.102781,1333.342624,1
1569.081574,1647.460823,1554.529669,1662.012728,0
1532.272302,1610.857586,1515.822418,1627.30747,0
1494.39335,1498.248607,1478.385585,1514.256373,0
1442.528403,1440.54756,1455.914474,1427.161489,1
1579.152999,1299.656337,1580.245055,1298.564281,1
1431.681211,1520.303795,1445.721405,1506.263601,1
1541.331447,1504.154975,1548.569132,1496.91729,1
1554.529669,1421.950555,1523.754192,1452.726031,0
1590.506913,1532.974211,1574.639376,1548.841747,0
1300.103446,1317.569055,1308.917139,1308.755362,1
1630.777763,1571.399682,1639.644713,1562.532732,1
1542.290306,1431.286451,1514.03102,1459.545737,0
1491.891192,1515.822418,1495.464296,1512.249314,1
1606.129913,1519.988554,1608.275734,1517.842733,1
1703.306052,1662.012728,1708.317498,1657.001282,1
1427.161489,1469.102781,1403.726866,1492.537404,0
1562.532732,1333.342624,1565.68356,1330.191795,1
1478.385585,1455.914474,1465.901148,1468.398911,0
1514.256373,1580.245055,1517.807254,1576.694173,1
1523.754192,1403.726866,1505.32188,1422.159179,0
1298.564281,1548.841747,1309.822413,1537.583615,1
1574.639376,1459.545737,1537.713053,1496.472061,0
1627.30747,1496.91729,1629.019255,1495.205505,1
1512.249314,1573.863504,1505.84692,1580.265898,0
1506.263601,1495.464296,1512.030603,1489.697294,1
1308.755362,1308.917139,1299.959534,1317.712967,0
1452.726031,1514.03102,1426.451771,1540.305281,0
1517.842733,1548.569132,1509.829756,1556.582109,0
1708.317498,1330.191795,1709.272578,1329.236716,1
1565.68356,1445.721405,1523.284654,1488.120311,0
1465.901148,1629.019255,1473.758745,1621.161658,1
1468.398911,1299.959534,1480.732266,1287.62618,1
1657.001282,1709.272578,1671.564953,1694.708907,1
1492.537404,1505.32188,1484.066976,1513.792308,0
1608.275734,1489.697294,1610.926615,1487.046412,1
1317.712967,1309.822413,1320.822428,1306.712952,1
1639.644713,1517.807254,1642.760716,1514.691251,1
1540.305281,1426.451771,1514.050904,1452.706147,0
1580.265898,1576.694173,1573.47191,1583.488162,0
1505.84692,1537.713053,1493.558532,1550.001441,0
1512.030603,1496.472061,1492.435792,1516.066872,0
1671.564953,1488.120311,1656.340738,1503.344526,0
1509.829756,1537.583615,1493.380791,1554.03258,0
1610.926615,1556.582109,1600.701467,1566.807258,0
1422.159179,1513.792308,1428.981449,1506.970037,1
1621.161658,1550.001441,1629.535224,1541.627874,1
1523.284654,1514.691251,1493.611574,1544.364331,0
1514.050904,1480.732266,1501.187686,1493.595483,0
1516.066872,1642.760716,1512.412926,1646.414662,0
1320.822428,1452.706147,1332.446096,1441.082479,1
1573.47191,1495.205505,1563.871402,1504.806013,0
1473.758745,1492.435792,1482.172597,1484.02194,1
1656.340738,1306.712952,1658.643078,1304.410612,1
1566.807258,1554.03258,1574.132831,1546.707007,1
1694.708907,1503.344526,1696.324121,1501.729312,1
1541.627874,1493.595483,1520.215928,1515.00743,0
1329.236716,1287.62618,1312.019836,1304.843059,0
1629.535224,1512.412926,1632.981068,1508.967082,1
1493.611574,1506.970037,1478.053926,1522.527685,0
1493.558532,1484.02194,1498.498179,1479.082294,1
1487.046412,1563.871402,1475.079782,1575.838033,0
1504.806013,1583.488162,1498.769856,1589.524319,0
1501.729312,1493.380791,1485.139572,1509.970531,0
1484.066976,1544.364331,1495.631278,1532.800029,1
1501.187686,1600.701467,1495.587067,1606.302086,0
1658.643078,1478.053926,1661.45457,1475.242434,1
1522.527685,1532.800029,1526.425927,1528.901787,1
1520.215928,1632.981068,1530.411344,1622.785651,1
1508.967082,1574.132831,1524.788971,1558.310942,1
1332.446096,1606.302086,1350.074301,1588.67388,1
1312.019836,1479.082294,1307.725513,1483.376617,0
1428.981449,1304.410612,1433.230703,1300.161359,1
1498.498179,1509.970531,1509.979606,1498.489104,1
1475.079782,1646.414662,1457.788336,1663.706108,0
1498.769856,1589.524319,1492.22885,1596.065324,0
